Frasi;Contesto
Che ore sono;OR
Hai l'orologio;OR
Che ora è adesso;OR
Mi sai dire che ora segna l'orologio;OR
Mi puoi dire che ore sono al momento;OR
Sapresti dirmi che ora è;OR
Potresti dirmi gentilmente che ore sono;OR
Scusa, mi sapresti dire che ore sono;OR
Per favore, potresti dirmi che ore segna l'orologio?;OR
Avresti la cortesia di dirmi che ore sono;OR
Mi faresti la gentilezza di dirmi che ora è;OR
Potresti dirmi che ora è?;OR
Sai per caso che ore sono?;OR
Hai idea di che ora sia?;OR
Mi puoi dire l'orario attuale?;OR
Vorrei sapere l'ora esatta, per favore;OR
Mi indicheresti l'ora in questo momento?;OR
Mi potresti informare sull'orario corrente?;OR
Potresti farmi sapere che ore sono adesso?;OR
Sapresti dirmi l'ora giusta?;OR
Saresti così gentile da dirmi che ora è?;OR
Mi potresti svelare l'orario attuale?;OR
Hai modo di dirmi l'ora?;OR
Potresti darmi l'orario preciso?;OR
Sai darmi un'indicazione sull'ora?;OR
Mi puoi comunicare che ora segna l'orologio?;OR
Saresti così gentile da darmi l'orario?;OR
Mi dici che ora è, per favore?;OR
Vorrei conoscere l'ora esatta in questo momento;OR
Mi puoi dare l'orario corrente?;OR
Sai quale sia l'ora in questo istante?;OR
Mi informeresti sull'orario attuale?;OR
Potresti svelarmi che ore sono?;OR
Hai idea di che ora sia adesso?;OR
Mi puoi rivelare l'orario preciso?;OR
Potresti indicarmi che ora è?;OR
Sapresti dirmi l'orario giusto?;OR
Saresti così gentile da riferirmi che ora è?;OR
Mi dici che ora segna l'orologio, per favore?;OR
Vorrei sapere che ora è in questo momento;OR
Mi puoi fornire l'orario corrente?;OR
Sai che ora è ora?;OR
Mi dici che ore sono, per favore?;OR
Potresti condividere con me l'orario attuale?;OR
Vorrei essere a conoscenza dell'ora esatta;OR
Potresti svelare l'orario corrente?;OR
Sai dirmi quale ora segna l'orologio?;OR
Mi indichi gentilmente che ora è?;OR
Mi puoi riferire l'orario in questo momento?;OR
Hai idea di che ora sia ora?;OR
Potresti rivelarmi l'orario giusto?;OR
Sapresti dirmi che ore sono, per favore?;OR
Mi dici che ora è adesso?;OR
Vorrei sapere che ore sono attualmente;OR
Mi puoi svelare l'orario corrente, per favore?;OR
Sai darmi un'indicazione sull'ora, per favore?;OR
Mi puoi comunicare che ora è ora?;OR
Mi potresti indicare gentilmente l'orario attuale?;OR
Potresti riferirmi l'orario esatto?;OR
Vorrei sapere che ora segna l'orologio;OR
Sapresti dirmi l'ora, ti prego?;OR
Mi dici che ore sono ora?;OR
Sai quale ora è, ti prego?;OR
Mi puoi informare sull'orario in questo momento?;OR
Vorrei sapere l'orario esatto, per favore;OR
Sapresti indicarmi che ore sono adesso?;OR
Potresti riferirmi l'orario corrente, ti prego?;OR
Mi dici che ora segna l'orologio adesso?;OR
Mi puoi comunicare che ora è, ti prego?;OR
