Frasi;Contesto
Che ore sono?;OR
Che ora è adesso?;OR
Mi sai dire che ora segna l'orologio?;OR
Mi puoi dire che ore sono al momento?;OR
Sapresti dirmi che ora è?;OR
Potresti dirmi gentilmente che ore sono?;OR
Scusa, mi sapresti dire che ore sono?;OR
Per favore, potresti dirmi che ore segna l'orologio?;OR
Avresti la cortesia di dirmi che ore sono?;OR
Mi faresti la gentilezza di dirmi che ora è?;OR
Scusi, potrebbe dirmi che ora segnano le lancette dell'orologio?;OR
Mi scusi, mi saprebbe dire cortesemente che ore sono?;OR
Le sarei grato se mi dicesse che ore segna attualmente l'orologio;OR
Mi farebbe il favore di dirmi che ora è?;OR
La prego mi saprebbe dire con precisione che ore sono?;OR
Mi perdoni il disturbo, mi potrebbe dire che ore segna l'orologio?;OR
Mi scusi, avrebbe la cortesia di dirmi che ore sono?;OR
Le spiace dirmi che ore segnano le lancette dell'orologio?;OR
Quanto manca a mezzogiorno?;OR
Fra quanto saranno le 12:00?;OR
Mancano molti minuti a mezzogiorno?;OR
A che ora sarà mezzogiorno?;OR
Fra quanto è previsto che suonerà mezzogiorno?;OR
Sapresti dirmi quanto manca alle 12:00?;OR
Potresti dirmi quanti minuti mancano a mezzogiorno?;OR
Scusa, mi sapresti dire quanto manca a mezzogiorno?;OR
Per favore, potresti dirmi fra quanto saranno le 12:00?;OR
Avresti la cortesia di dirmi quanto manca a mezzogiorno?;OR
Mi faresti la gentilezza di dirmi fra quanto sarà mezzogiorno?;OR
Scusi, potrebbe dirmi quanto manca alle 12:00?;OR
Mi scusi, mi saprebbe dire cortesemente quanto manca alle 12:00?;OR
Le sarei grato se mi dicesse quanto manca a mezzogiorno;OR
Mi farebbe il favore di dirmi fra quanto saranno le 12:00?;OR
La prego mi saprebbe dire con precisione quanto manca a mezzogiorno?;OR
Mi perdoni il disturbo, mi potrebbe dire fra quanto sarà mezzogiorno?;OR
Mi scusi, avrebbe la cortesia di dirmi quanto manca alle 12:00?;OR
Le spiace dirmi quanto manca alle 12:00?;OR
A che ora saranno le 15:30?;OR
Quanto manca alle 15:30 del pomeriggio?;OR
Fra quanto saranno le 15:30 del pomeriggio?;OR
Manca molto alle 15:30 di oggi pomeriggio?;OR
Sapresti dirmi fra quanto saranno le 15:30 odierne?;OR
Potresti dirmi quanti minuti mancano alle 15:30 di oggi?;OR
Scusa, mi sapresti dire quanto manca alle 15:30 di oggi pomeriggio?;OR
Per favore, potresti dirmi a che ora saranno le 15:30?;OR
Avresti la cortesia di dirmi quanto manca alle 15:30?;OR
Mi faresti la gentilezza di dirmi fra quanto saranno le 15:30?;OR
Scusi, potrebbe dirmi quanto manca alle 15:30 del pomeriggio?;OR
Mi scusi, mi saprebbe dire cortesemente quanto manca alle 15:30 odierne?;OR
Le sarei grato se mi dicesse quanto manca alle 15:30;OR
Mi farebbe il favore di dirmi fra quanto saranno le 15:30?;OR
La prego mi saprebbe dire con precisione quanto manca alle 15:30 di oggi?;OR
Mi perdoni il disturbo, mi potrebbe dire fra quanto saranno le 15:30 odierne?;OR
Mi scusi, avrebbe la cortesia di dirmi quanto manca alle 15:30?;OR
Le spiace dirmi quanto manca alle 15:30 di oggi pomeriggio?;OR
Crea un promemoria per marzo 2023;EV
Imposta un avviso per aprile 2023;EV
Metti una sveglia per maggio 2023;EV
Inserisci una notifica per giugno 2023;EV
Fammi un memo per luglio 2023;EV
Ricordami di prenotare le ferie ad agosto 2023;EV
Crea un evento per settembre 2023;EV
Imposta un reminder per ottobre 2023;EV
Metti un promemoria per novembre 2023;EV
Inserisci una notifica per dicembre 2023;EV
Crea una sveglia per gennaio 2024;EV
Ricordami di rinnovare l'assicurazione a febbraio 2024;EV
Imposta un avviso per marzo 2024;EV
Metti un evento per aprile 2024;EV
Inserisci un memo per maggio 2024;EV
Fammi un promemoria per giugno 2024;EV
Ricordami di fare il tagliando auto a luglio 2024;EV
Crea una notifica per agosto 2024;EV
Imposta un reminder per settembre 2024;EV
Metti una sveglia per ottobre 2024;EV
Inserisci un avviso per novembre 2024;EV
Crea un evento per dicembre 2024;EV
Ricordami di rinnovare il passaporto a gennaio 2025;EV
